사용월,호선명,지하철역,04시_하차,05시_하차,06시_하차,07시_하차,08시_하차,09시_하차,10시_하차,11시_하차,12시_하차,13시_하차,14시_하차,15시_하차,16시_하차,17시_하차,18시_하차,19시_하차,20시_하차,21시_하차,22시_하차,23시_하차,00시_하차,01시_하차,02시_하차,03시_하차
202302,5호선,서대문,0,1100,13849,62578,160040,44635,20663,18114,18077,21407,17393,15210,15415,18846,25131,14873,10165,10033,7731,4669,1451,39,0,0
202302,5호선,송정,0,1004,3266,6020,10374,7115,5755,6330,7457,7766,8221,9189,10804,12753,18977,15400,9746,9143,8668,5307,2006,0,0,0
202302,5호선,신금호,0,352,2249,5610,11085,7294,5780,5791,7206,7696,8215,9992,11322,15323,24195,16803,10368,9492,8627,5435,1861,0,0,0
202302,5호선,신길,0,283,1587,4101,13086,5586,2695,2999,2973,3506,3526,4223,5553,9364,17769,11436,8865,8397,7890,5197,1615,0,0,0
202302,5호선,신정(은행정),14,665,3388,6049,12020,8184,7101,7437,8709,10259,11840,15184,19768,25888,46299,35542,21723,21185,20162,12470,3765,0,0,0
202302,5호선,아차산(어린이대공원후문),0,1297,5113,10234,23800,17562,19176,18449,18594,18651,19274,21818,25139,31806,49886,36863,22715,19230,17344,10605,3389,0,0,0
202302,5호선,애오개,0,595,3937,7887,24344,13116,6460,5828,6290,7763,7671,7640,8650,12582,21023,13483,8177,7389,7078,4411,1895,338,0,0
202302,5호선,양평,0,574,3116,8355,35503,13810,5707,5544,5745,6904,6732,7135,8223,11740,22161,15835,9937,9573,8668,5301,1660,0,0,0
202302,5호선,여의나루,0,1300,10784,36063,71528,27136,18751,18049,18903,22088,22607,22301,21493,20654,20273,11066,6346,4536,3487,1916,655,0,0,0
202302,5호선,여의도,1,3210,26155,135736,214487,79859,32578,32155,29837,32790,26576,24414,24826,29292,37375,17645,9227,7844,6558,3669,1880,1,0,0
202302,5호선,영등포구청,0,644,2024,5880,23499,9491,4318,3828,4027,4479,4212,4408,4827,6567,11912,6288,3731,3668,3368,2111,640,0,0,0
202302,5호선,영등포시장,0,975,4567,12212,35624,20987,15968,15250,18689,21649,17474,14254,14499,18142,31815,19817,11723,11393,10500,6824,1700,0,0,0
202302,5호선,오금,1,302,2016,5877,19647,6651,3550,3260,3543,3644,3731,3847,4627,5722,7307,6161,3492,3224,3407,2530,899,0,0,0
202302,5호선,오목교(목동운동장앞),0,1577,7485,25332,61631,49745,30712,29843,29642,32683,32407,32611,37030,47937,72370,47299,25991,23547,20403,12108,3365,0,0,0
202302,5호선,올림픽공원(한국체대),0,811,3189,4129,8380,5873,4746,4155,5457,5757,6078,7060,6998,9018,9346,7658,4680,4362,3839,2761,705,0,0,0
