BASE_YEAR,BASE_MT,SIGNGU_NM,AVRG_FYER_INCOME_PRICE
2020,6,금정구,32000
2020,6,기장군,33000
2020,6,남구,32000
2020,6,동구,30000
2020,6,동래구,33000
2020,6,부산진구,31000
2020,6,북구,31000
2020,6,사상구,30000
2020,6,사하구,30000
2020,6,서구,30000
2020,6,수영구,33000
2020,6,연제구,33000
2020,6,영도구,30000
2020,6,중구,29000
2020,6,해운대구,35000
2020,9,강서구,32000
2020,9,금정구,32000
2020,9,기장군,33000
2020,9,남구,32000
2020,9,동구,30000
2020,9,동래구,34000
2020,9,부산진구,32000
2020,9,북구,31000
2020,9,사상구,30000
2020,9,사하구,31000
2020,9,서구,31000
2020,9,수영구,33000
2020,9,연제구,33000
2020,9,영도구,30000
2020,9,중구,29000
2020,9,해운대구,35000
2020,12,강서구,32000
2020,12,금정구,31000
2020,12,기장군,32000
2020,12,남구,31000
2020,12,동구,29000
2020,12,동래구,33000
2020,12,부산진구,31000
2020,12,북구,30000
2020,12,사상구,29000
2020,12,사하구,30000
2020,12,서구,30000
2020,12,수영구,33000
2020,12,연제구,32000
2020,12,영도구,29000
2020,12,중구,29000
2020,12,해운대구,34000
2021,3,강서구,32000
2021,3,금정구,31000
2021,3,기장군,32000
2021,3,남구,31000
2021,3,동구,29000
2021,3,동래구,33000
2021,3,부산진구,31000
2021,3,북구,30000
2021,3,사상구,29000
2021,3,사하구,30000
2021,3,서구,31000
2021,3,수영구,33000
2021,3,연제구,32000
2021,3,영도구,29000
2021,3,중구,28000
2021,3,해운대구,35000
2021,6,강서구,33000
2021,6,금정구,32000
2021,6,기장군,33000
2021,6,남구,32000
2021,6,동구,30000
2021,6,동래구,34000
2021,6,부산진구,32000
2021,6,북구,31000
2021,6,사상구,30000
2021,6,사하구,31000
2021,6,서구,31000
2021,6,수영구,33000
2021,6,연제구,33000
2021,6,영도구,30000
2021,6,중구,29000
2021,6,해운대구,35000
2021,9,강서구,33000
2021,9,금정구,33000
2021,9,기장군,34000
2021,9,남구,33000
2021,9,동구,31000
2021,9,동래구,35000
2021,9,부산진구,33000
2021,9,북구,32000
2021,9,사상구,30000
2021,9,사하구,31000
2021,9,서구,32000
2021,9,수영구,35000
2021,9,연제구,34000
2021,9,영도구,30000
