사용월,호선명,지하철역,04시_승차,05시_승차,06시_승차,07시_승차,08시_승차,09시_승차,10시_승차,11시_승차,12시_승차,13시_승차,14시_승차,15시_승차,16시_승차,17시_승차,18시_승차,19시_승차,20시_승차,21시_승차,22시_승차,23시_승차,00시_승차,01시_승차,02시_승차,03시_승차
202302,7호선,청담,31,2307,5700,9252,13404,11838,11415,14448,18047,19029,22271,29436,39990,64738,109949,54156,31272,28560,20921,5627,726,0,0,0
202302,7호선,태릉입구,142,7065,8000,20160,26362,16785,12967,11710,13121,12652,12582,13487,14788,16881,18048,10706,7746,7432,6031,2799,475,1,0,0
202302,7호선,하계,13,7071,22493,62801,66857,37495,27853,25904,27197,23802,23380,26185,27373,28422,23750,13380,11696,9517,6900,2654,465,0,0,0
202302,7호선,학동,2,1658,4129,7424,10787,9896,10320,13269,17430,19941,25198,33052,42017,79634,160851,79141,38967,34299,24763,9446,1387,0,0,0
202302,8호선,가락시장,101,2759,4989,9377,11845,9284,8971,9650,9823,10299,11707,13567,13792,18372,27361,11906,10739,11022,9198,4214,834,0,0,0
202302,8호선,강동구청,10,4678,9970,27914,39456,23321,15203,14018,13464,13728,12951,13284,14603,18646,26398,10557,8045,7054,4785,1914,379,0,0,0
202302,8호선,남위례,1,1051,4874,15649,20318,11067,8267,7775,8422,8377,7690,8947,9703,13727,17518,7362,5676,6004,4484,1945,610,0,0,0
202302,8호선,남한산성입구(성남법원.검찰청),55,10104,19134,46781,60732,31927,20714,19070,18956,17497,15514,14961,15662,19216,20584,9485,6270,4729,3008,1231,260,0,0,0
202302,8호선,단대오거리,12,8578,17279,41936,50357,26618,17549,16015,16807,16196,14311,14102,15638,19199,22507,9977,7217,5284,3600,1453,331,0,0,0
202302,8호선,모란,22,2070,2659,7681,10282,6744,5870,7156,8099,9113,9523,10803,11193,10764,11189,6048,4414,4243,3738,2564,643,1,0,0
202302,8호선,몽촌토성(평화의문),2,1275,3531,10713,17036,11041,7089,6910,7603,7853,8442,9812,13331,16327,21426,9687,7092,7230,5398,2543,510,0,0,0
202302,8호선,문정,8,2017,6311,20634,30800,17939,14359,15928,18280,20893,23636,25883,32075,77693,122637,41941,28402,25172,17878,6625,1113,0,0,0
