하차인원수,위도,경도,시간대
0.0,37.494594,126.85868,2
0.0,37.494594,126.85868,3
0.0,37.578608,126.798153,4
129.5,37.578608,126.798153,5
2292.25,37.578608,126.798153,6
3198.0,37.578608,126.798153,7
4743.25,37.578608,126.798153,8
2782.5,37.578608,126.798153,9
1842.75,37.578608,126.798153,10
2008.25,37.578608,126.798153,11
1862.5,37.578608,126.798153,12
1897.0,37.578608,126.798153,13
1906.25,37.578608,126.798153,14
2269.25,37.578608,126.798153,15
2210.25,37.578608,126.798153,16
3130.75,37.578608,126.798153,17
5996.0,37.578608,126.798153,18
5198.75,37.578608,126.798153,19
2946.0,37.578608,126.798153,20
1930.75,37.578608,126.798153,21
1741.5,37.578608,126.798153,22
1087.0,37.578608,126.798153,23
498.25,37.578608,126.798153,0
50.75,37.578608,126.798153,1
1.75,37.578608,126.798153,2
0.0,37.578608,126.798153,3
0.0,37.572399,126.806171,4
383.0,37.572399,126.806171,5
4071.75,37.572399,126.806171,6
6406.25,37.572399,126.806171,7
15914.5,37.572399,126.806171,8
6948.25,37.572399,126.806171,9
5017.5,37.572399,126.806171,10
5335.0,37.572399,126.806171,11
6364.75,37.572399,126.806171,12
6014.25,37.572399,126.806171,13
6196.0,37.572399,126.806171,14
7637.75,37.572399,126.806171,15
9099.75,37.572399,126.806171,16
11229.0,37.572399,126.806171,17
16313.5,37.572399,126.806171,18
15322.75,37.572399,126.806171,19
9103.5,37.572399,126.806171,20
8831.75,37.572399,126.806171,21
7866.5,37.572399,126.806171,22
4619.25,37.572399,126.806171,23
1778.0,37.572399,126.806171,0
60.5,37.572399,126.806171,1
0.0,37.572399,126.806171,2
0.0,37.572399,126.806171,3
0.0,37.493105,127.14415,4
762.5,37.493105,127.14415,5
4022.25,37.493105,127.14415,6
8764.75,37.493105,127.14415,7
17017.25,37.493105,127.14415,8
9337.5,37.493105,127.14415,9
7147.25,37.493105,127.14415,10
7605.5,37.493105,127.14415,11
8084.5,37.493105,127.14415,12
11233.5,37.493105,127.14415,13
11092.25,37.493105,127.14415,14
13123.75,37.493105,127.14415,15
19254.5,37.493105,127.14415,16
22845.5,37.493105,127.14415,17
37260.5,37.493105,127.14415,18
33580.5,37.493105,127.14415,19
17401.5,37.493105,127.14415,20
15215.0,37.493105,127.14415,21
16972.0,37.493105,127.14415,22
8917.5,37.493105,127.14415,23
3198.25,37.493105,127.14415,0
10.25,37.493105,127.14415,1
2.75,37.493105,127.14415,2
0.0,37.493105,127.14415,3
2.75,37.540693,127.07023,4
1357.875,37.540693,127.07023,5
11547.625,37.540693,127.07023,6
21473.5,37.540693,127.07023,7
49713.5,37.540693,127.07023,8
40210.75,37.540693,127.07023,9
33951.875,37.540693,127.07023,10
34780.25,37.540693,127.07023,11
38448.375,37.540693,127.07023,12
42321.25,37.540693,127.07023,13
41616.75,37.540693,127.07023,14
44220.875,37.540693,127.07023,15
51739.5,37.540693,127.07023,16
69345.125,37.540693,127.07023,17
99914.75,37.540693,127.07023,18
68899.75,37.540693,127.07023,19
39843.5,37.540693,127.07023,20
35313.75,37.540693,127.07023,21
31087.75,37.540693,127.07023,22
18400.625,37.540693,127.07023,23
7036.25,37.540693,127.07023,0
534.625,37.540693,127.07023,1
2.125,37.540693,127.07023,2
0.0,37.540693,127.07023,3
0.0,37.495918,127.12454,4
289.0,37.495918,127.12454,5
3039.75,37.495918,127.12454,6
8365.75,37.495918,127.12454,7
28223.25,37.495918,127.12454,8
14561.5,37.495918,127.12454,9
8617.25,37.495918,127.12454,10
6845.0,37.495918,127.12454,11
7783.75,37.495918,127.12454,12
9492.75,37.495918,127.12454,13
8550.75,37.495918,127.12454,14
9197.5,37.495918,127.12454,15
10196.75,37.495918,127.12454,16
15217.0,37.495918,127.12454,17
22161.75,37.495918,127.12454,18
17020.0,37.495918,127.12454,19
10311.25,37.495918,127.12454,20
9141.75,37.495918,127.12454,21
8840.25,37.495918,127.12454,22
5353.5,37.495918,127.12454,23
1503.0,37.495918,127.12454,0
4.0,37.495918,127.12454,1
0.0,37.495918,127.12454,2
0.0,37.495918,127.12454,3
0.0,37.555004,127.154151,4
1879.5,37.555004,127.154151,5
5945.0,37.555004,127.154151,6
14217.0,37.555004,127.154151,7
16739.25,37.555004,127.154151,8
13245.75,37.555004,127.154151,9
12293.0,37.555004,127.154151,10
10723.75,37.555004,127.154151,11
11445.25,37.555004,127.154151,12
16340.75,37.555004,127.154151,13
13617.0,37.555004,127.154151,14
15463.0,37.555004,127.154151,15
17930.0,37.555004,127.154151,16
18318.5,37.555004,127.154151,17
30869.0,37.555004,127.154151,18
26177.0,37.555004,127.154151,19
13518.75,37.555004,127.154151,20
13084.75,37.555004,127.154151,21
12425.0,37.555004,127.154151,22
6830.5,37.555004,127.154151,23
2901.25,37.555004,127.154151,0
192.75,37.555004,127.154151,1
0.0,37.555004,127.154151,2
0.0,37.555004,127.154151,3
3.0833333333333335,37.50481,127.00494299999998,4
2609.0833333333335,37.50481,127.00494299999998,5
23298.0,37.50481,127.00494299999998,6
33879.333333333336,37.50481,127.00494299999998,7
50961.166666666664,37.50481,127.00494299999998,8
53375.75,37.50481,127.00494299999998,9
52260.5,37.50481,127.00494299999998,10
54898.5,37.50481,127.00494299999998,11
52092.0,37.50481,127.00494299999998,12
54141.416666666664,37.50481,127.00494299999998,13
54908.583333333336,37.50481,127.00494299999998,14
55654.5,37.50481,127.00494299999998,15
56082.416666666664,37.50481,127.00494299999998,16
59793.25,37.50481,127.00494299999998,17
64683.666666666664,37.50481,127.00494299999998,18
42013.75,37.50481,127.00494299999998,19
26137.583333333332,37.50481,127.00494299999998,20
21127.166666666668,37.50481,127.00494299999998,21
16239.666666666666,37.50481,127.00494299999998,22
8079.916666666667,37.50481,127.00494299999998,23
1510.0,37.50481,127.00494299999998,0
4.916666666666667,37.50481,127.00494299999998,1
0.5833333333333334,37.50481,127.00494299999998,2
0.0,37.50481,127.00494299999998,3
0.3333333333333333,37.544018,126.951592,4
1100.0,37.544018,126.951592,5
6063.5,37.544018,126.951592,6
23429.583333333332,37.544018,126.951592,7
63533.0,37.544018,126.951592,8
31670.5,37.544018,126.951592,9
14581.416666666666,37.544018,126.951592,10
13160.416666666666,37.544018,126.951592,11
13121.833333333334,37.544018,126.951592,12
13275.166666666666,37.544018,126.951592,13
12825.916666666666,37.544018,126.951592,14
13407.583333333334,37.544018,126.951592,15
15702.083333333334,37.544018,126.951592,16
22373.25,37.544018,126.951592,17
33944.333333333336,37.544018,126.951592,18
19822.583333333332,37.544018,126.951592,19
11642.083333333334,37.544018,126.951592,20
10958.0,37.544018,126.951592,21
9965.25,37.544018,126.951592,22
6438.75,37.544018,126.951592,23
2379.4166666666665,37.544018,126.951592,0
47.916666666666664,37.544018,126.951592,1
0.08333333333333333,37.544018,126.951592,2
0.0,37.544018,126.951592,3
0.0,37.563726,126.810678,4
203.0,37.563726,126.810678,5
1090.0,37.563726,126.810678,6
1859.25,37.563726,126.810678,7
3962.25,37.563726,126.810678,8
3136.0,37.563726,126.810678,9
2874.5,37.563726,126.810678,10
3152.75,37.563726,126.810678,11
3538.25,37.563726,126.810678,12
3953.75,37.563726,126.810678,13
3945.75,37.563726,126.810678,14
4807.5,37.563726,126.810678,15
6244.5,37.563726,126.810678,16
7444.5,37.563726,126.810678,17
10729.0,37.563726,126.810678,18
10107.75,37.563726,126.810678,19
6430.0,37.563726,126.810678,20
5707.75,37.563726,126.810678,21
5167.75,37.563726,126.810678,22
3696.75,37.563726,126.810678,23
1494.5,37.563726,126.810678,0
3.75,37.563726,126.810678,1
0.25,37.563726,126.810678,2
0.0,37.563726,126.810678,3
0.25,37.458366,126.476241,4
654.25,37.458366,126.476241,5
6760.5,37.458366,126.476241,6
12800.0,37.458366,126.476241,7
22427.0,37.458366,126.476241,8
3179.5,37.458366,126.476241,9
1732.75,37.458366,126.476241,10
2500.0,37.458366,126.476241,11
2684.5,37.458366,126.476241,12
1269.25,37.458366,126.476241,13
1000.25,37.458366,126.476241,14
752.5,37.458366,126.476241,15
1184.75,37.458366,126.476241,16
1824.25,37.458366,126.476241,17
1059.25,37.458366,126.476241,18
1159.0,37.458366,126.476241,19
1613.0,37.458366,126.476241,20
915.75,37.458366,126.476241,21
378.5,37.458366,126.476241,22
185.5,37.458366,126.476241,23
77.75,37.458366,126.476241,0
0.0,37.458366,126.476241,1
0.0,37.458366,126.476241,2
0.0,37.458366,126.476241,3
0.75,37.419232,126.908706,4
1470.5,37.419232,126.908706,5
3633.75,37.419232,126.908706,6
6172.75,37.419232,126.908706,7
10657.25,37.419232,126.908706,8
