승차인원수,위도,경도,시간대
4459.25,37.563726,126.810678,17
4146.5,37.563726,126.810678,18
2749.0,37.563726,126.810678,19
2356.0,37.563726,126.810678,20
1856.75,37.563726,126.810678,21
1479.0,37.563726,126.810678,22
788.0,37.563726,126.810678,23
139.75,37.563726,126.810678,0
0.0,37.563726,126.810678,1
0.0,37.563726,126.810678,2
0.0,37.563726,126.810678,3
1.25,37.458366,126.476241,4
489.5,37.458366,126.476241,5
1209.5,37.458366,126.476241,6
2019.25,37.458366,126.476241,7
2292.75,37.458366,126.476241,8
1727.0,37.458366,126.476241,9
745.0,37.458366,126.476241,10
808.75,37.458366,126.476241,11
1131.5,37.458366,126.476241,12
1273.0,37.458366,126.476241,13
1951.75,37.458366,126.476241,14
3156.25,37.458366,126.476241,15
5011.75,37.458366,126.476241,16
10638.0,37.458366,126.476241,17
17252.0,37.458366,126.476241,18
3656.5,37.458366,126.476241,19
2340.75,37.458366,126.476241,20
2539.0,37.458366,126.476241,21
2460.25,37.458366,126.476241,22
525.25,37.458366,126.476241,23
11.5,37.458366,126.476241,0
0.25,37.458366,126.476241,1
0.0,37.458366,126.476241,2
0.0,37.458366,126.476241,3
178.75,37.419232,126.908706,4
7105.25,37.419232,126.908706,5
13072.75,37.419232,126.908706,6
34377.25,37.419232,126.908706,7
31433.5,37.419232,126.908706,8
15997.25,37.419232,126.908706,9
11723.5,37.419232,126.908706,10
10372.25,37.419232,126.908706,11
11376.0,37.419232,126.908706,12
10845.5,37.419232,126.908706,13
9987.0,37.419232,126.908706,14
10397.5,37.419232,126.908706,15
11919.0,37.419232,126.908706,16
12127.0,37.419232,126.908706,17
11287.25,37.419232,126.908706,18
6698.25,37.419232,126.908706,19
4762.25,37.419232,126.908706,20
4343.0,37.419232,126.908706,21
2616.5,37.419232,126.908706,22
1008.0,37.419232,126.908706,23
49.25,37.419232,126.908706,0
0.25,37.419232,126.908706,1
0.0,37.419232,126.908706,2
0.0,37.419232,126.908706,3
0.0,37.416182,126.884466,4
16.5,37.416182,126.884466,5
3089.5,37.416182,126.884466,6
11939.5,37.416182,126.884466,7
10386.5,37.416182,126.884466,8
6758.25,37.416182,126.884466,9
4046.0,37.416182,126.884466,10
7291.0,37.416182,126.884466,11
5321.0,37.416182,126.884466,12
4690.75,37.416182,126.884466,13
3833.0,37.416182,126.884466,14
8778.0,37.416182,126.884466,15
2959.25,37.416182,126.884466,16
8838.25,37.416182,126.884466,17
9932.5,37.416182,126.884466,18
8775.0,37.416182,126.884466,19
4840.5,37.416182,126.884466,20
5584.5,37.416182,126.884466,21
2471.75,37.416182,126.884466,22
1227.5,37.416182,126.884466,23
0.5,37.416182,126.884466,0
0.0,37.416182,126.884466,1
0.0,37.416182,126.884466,2
0.0,37.416182,126.884466,3
190.0,37.479252,126.854876,4
19108.0,37.479252,126.854876,5
29446.0,37.479252,126.854876,6
75584.25,37.479252,126.854876,7
87143.0,37.479252,126.854876,8
46472.5,37.479252,126.854876,9
30716.0,37.479252,126.854876,10
28639.25,37.479252,126.854876,11
31033.0,37.479252,126.854876,12
30788.75,37.479252,126.854876,13
29850.25,37.479252,126.854876,14
30680.75,37.479252,126.854876,15
34628.0,37.479252,126.854876,16
36063.75,37.479252,126.854876,17
32502.5,37.479252,126.854876,18
22368.75,37.479252,126.854876,19
15826.25,37.479252,126.854876,20
12081.5,37.479252,126.854876,21
9033.75,37.479252,126.854876,22
3706.75,37.479252,126.854876,23
576.75,37.479252,126.854876,0
2.5,37.479252,126.854876,1
0.0,37.479252,126.854876,2
0.0,37.479252,126.854876,3
10832.75,37.503039,126.881966,4
21988.75,37.503039,126.881966,5
18161.5,37.503039,126.881966,6
36505.0,37.503039,126.881966,7
36171.5,37.503039,126.881966,8
26469.0,37.503039,126.881966,9
20656.5,37.503039,126.881966,10
20504.25,37.503039,126.881966,11
21896.0,37.503039,126.881966,12
22966.5,37.503039,126.881966,13
